各カラーの説明など。
デフォルトのカラー(上段12色）以外をご使用になられたい場合は、
カラーリストを参考にdefファイルを書き換えてご使用下さい。
デフォルトには採用出来ませんが、まだまだ募集中。

sol_01		ノーマルカラーを若干アレンジ。腹部の？な部分の修正等。
sol_02		無印版HSカラー。無印でのアマチ使用色。
sol_04		アマチオリジナル。
sol_05		アマチオリジナル。
sol_07		アマチオリジナル。お気に入り。黒＋赤は良い物です。
sol_08		ＸのSTカラー。これもアマチ使用カラー。SF3チックなシャドウが良い感じ。
sol_10		アマチオリジナル。お気に入りその2。
sol_11		アマチオリジナル。明るめの物が無かったので作成(十分暗めですけど)。ちょっと微妙？
sol_amachi01	アマチオリジナル。赤でまとめてみました。
sol_amachi02	アマチオリジナル。ダークな感じに。
sol_amachi03	アマチオリジナル。定番とも言えるブラック系。
sol_amachi04	アマチオリジナル。イラスト風に。

sol_tamega01	ためが様提供。非常にライトな感じで、Goodです。
sol_tamega02	ためが様提供。フリーマンカラーだとか。
sol_tamega03	ためが様提供。ためがさんオリジナル。ネタだそうですけど、こんなのも良いかも？
sol_tamega04	ためが様提供。廃人な感じ？(汗)。赤い刃がより不気味感を煽ります…。
sol_tamega05	ためが様提供。テリー風。確かにテリーしてて、良い感じです(笑)
sol_tamega06	ためが様提供。どよ～ん…。
sol_tamega07	ためが様提供。紫に濃い目の肌が意外にマッチ。

sol_ikoma	いこま様提供。梅喧風味だとか。

sol_boukun	暴君様提供。非常に暗めですが、こんなソルも良いかも？

sol_gold	お馴染みのゴールドカラー。

sol_sr01	＃ReloadのＫカラー。
sol_sr02	＃ReloadのＳカラー。
sol_sr03	＃ReloadのHSカラー。
sol_sr04	＃ReloadのＤカラー。
sol_sr05	＃ReloadのSTカラー。


提供者様に感謝♪
